v8-version,8,5,210,20,0
code-creation,Builtin,3,2399,0x10978ebc0,62,ContinueToJavaScriptBuiltinWithResult
code-creation,Builtin,3,2405,0x10978ec00,291,CallApiCallback
code-creation,Builtin,3,2410,0x10978ed40,287,CallApiGetter
code-creation,Builtin,3,2415,0x10978ee60,12,HandleApiCall
code-creation,Builtin,3,2420,0x10978ee80,12,HandleApiCallAsFunction
code-creation,Builtin,3,2426,0x10978eea0,12,HandleApiCallAsConstructor
code-creation,Builtin,3,2432,0x10978eec0,64,AllocateInYoungGeneration
code-creation,Builtin,3,2438,0x10978ef20,60,AllocateRegularInYoungGeneration
code-creation,Builtin,3,2444,0x10978ef60,64,AllocateInOldGeneration
code-creation,Builtin,3,2449,0x10978efc0,60,AllocateRegularInOldGeneration
code-creation,Builtin,3,2455,0x10978f000,500,CopyFastSmiOrObjectElements
code-creation,Builtin,3,2461,0x10978f200,571,GrowFastDoubleElements
code-creation,Builtin,3,2466,0x10978f440,454,GrowFastSmiOrObjectElements
code-creation,Builtin,3,2472,0x10978f620,410,NewArgumentsElements
code-creation,Builtin,3,2478,0x10978f7c0,520,DebugBreakTrampoline
code-creation,Builtin,3,2483,0x10978f9e0,152,FrameDropperTrampoline
code-creation,Builtin,3,2489,0x10978fa80,45,HandleDebuggerStatement
code-creation,Builtin,3,2494,0x10978fac0,235,ToNumber
code-creation,Builtin,3,2499,0x10978fbc0,268,ToNumberConvertBigInt
code-creation,Builtin,3,2504,0x10978fce0,144,Typeof
code-creation,Builtin,3,2509,0x10978fd80,73,GetSuperConstructor
code-creation,Builtin,3,2515,0x10978fde0,125,BigIntToI64
code-creation,Builtin,3,2520,0x10978fe60,12,BigIntToI32Pair
code-creation,Builtin,3,2525,0x10978fe80,293,I64ToBigInt
code-creation,Builtin,3,2530,0x10978ffc0,12,I32PairToBigInt
code-creation,Builtin,3,2535,0x10978ffe0,124,ToBooleanLazyDeoptContinuation
code-creation,Builtin,3,2541,0x109790060,3769,KeyedLoadIC_PolymorphicName
code-creation,Builtin,3,2547,0x109790f20,16728,KeyedStoreIC_Megamorphic
code-creation,Builtin,3,2553,0x109795080,309,LoadGlobalIC_NoFeedback
